overall,reviewText,summary,sentiment,review_len,clean_text,clean_summary,combined_text,vader_text,ml_text
4.0,"I've used Norton products for years and haven't had any issues.  I personally think Norton 360 gives you ""more bang for your buck"" and just upgraded to the 2014 edition.  I do however like to have the CD version vs downloading.  Also you save a lot of money by buying through Amazon rather than renewing on the Norton site.",Great Product,positive,59,"i've used norton products for years and haven't had any issues. i personally think norton 360 gives you ""more bang for your buck"" and just upgraded to the 2014 edition. i do however like to have the cd version vs downloading. also you save a lot of money by buying through amazon rather than renewing on the norton site.",great product,"great product i've used norton products for years and haven't had any issues. i personally think norton 360 gives you ""more bang for your buck"" and just upgraded to the 2014 edition. i do however like to have the cd version vs downloading. also you save a lot of money by buying through amazon rather than renewing on the norton site.","Great Product I've used Norton products for years and haven't had any issues. I personally think Norton 360 gives you ""more bang for your buck"" and just upgraded to the 2014 edition. I do however like to have the CD version vs downloading. Also you save a lot of money by buying through Amazon rather than renewing on the Norton site.","great product i've used norton products for years and haven't had any issues. i personally think norton 360 gives you ""more bang for your buck"" and just upgraded to the 2014 edition. i do however like to have the cd version vs downloading. also you save a lot of money by buying through amazon rather than renewing on the norton site."
5.0,I've used Turbotax since it first came out. Amazon's price is competitive and shipment fast. No one should be afraid to do their own taxes. There is an easy learn step by step process that takes you through the process. It automatically creates your state tax for you as you compete your federal tax. I don't know why more people don't use it and save the money they have been paying to a tax preparation company.,It works fine!,positive,76,i've used turbotax since it first came out. amazon's price is competitive and shipment fast. no one should be afraid to do their own taxes. there is an easy learn step by step process that takes you through the process. it automatically creates your state tax for you as you compete your federal tax. i don't know why more people don't use it and save the money they have been paying to a tax preparation company.,it works fine!,it works fine! i've used turbotax since it first came out. amazon's price is competitive and shipment fast. no one should be afraid to do their own taxes. there is an easy learn step by step process that takes you through the process. it automatically creates your state tax for you as you compete your federal tax. i don't know why more people don't use it and save the money they have been paying to a tax preparation company.,It works fine! I've used Turbotax since it first came out. Amazon's price is competitive and shipment fast. No one should be afraid to do their own taxes. There is an easy learn step by step process that takes you through the process. It automatically creates your state tax for you as you compete your federal tax. I don't know why more people don't use it and save the money they have been paying to a tax preparation company.,it works fine! i've used turbotax since it first came out. amazon's price is competitive and shipment fast. no one should be afraid to do their own taxes. there is an easy learn step by step process that takes you through the process. it automatically creates your state tax for you as you compete your federal tax. i don't know why more people don't use it and save the money they have been paying to a tax preparation company.
4.0,"ONE THING LACKING IN ALMOST ALL THE REVIEWS IS INFO!!!!!  8.1 DOESN'T WORK, WONT INSTALL, ETC.

SO ---- WHAT IS THE MACHINE?  IS THIS A PC OR A MAC?  HAS THE MACHINE HAD PROBLELMS PREVIOUSLY? CPU INTEL OR ???

IS YOUR READER RELIABLE?  ANYTIME WE SPEAK TO A TECH REP, THEY MUST BE TRAINED TO MAKE YOU THINK

IT IS YOUR FAULT, THEY JUST KEEP YOU ON A MERRY-GO-ROUND UNTIL YOU TIRE AND GO AWAY.

MY EXPERIENCE WITH THE ABOVE --- THE FIRST MINUTE ON LINE WITH THEM AND I CAN TELL THAT I KNOW MORE

THAN THEY DO, THEY ARE READING FROM AN ""IF THIS, THEN THAT"" SCRIPT .

I INSTALLED 8.1 PRO  ONTO AN OLD XP PC WITH FOUR GB AND A 2.4 MHZ INTEL. , AND ONTO A NEW 7.1 PC  -- PLUS

ONTO ON OLLLDDD VISTA PC (SAME HARDWARE)  WITH - UNBELIEVABLY - NO PROBLEMS.

ALL NOW WIRELESSLY NETWORKED (EASILY) AND TO A WIRELESS BROTHER PRINTER.

I'M NOT CRAZY ABOUT THE WAY 8.1 IS LAID OUT, BUT WITH A LITTLE TIME AND PRIOR EXPERIENCE WITH XP AND VISTA

I PRETTY WELL FOUND EVERYTHING.  MY WIFE IS NO HARDWARE OR SOFTWARE PERSON, YET, SHE HAS HAD VERY

FEW PROBLEMS MAKING IT PERFORM FOR WHAT SHE WANTS. SHE AND I HAVE HAD -- ZERO -- BLUES SCREENS SINCE 8.1. SHE HAD 2 OR 3 A DAY.

I FEEL THAT THIS SOFTWARE DOESN'T INSTALL WELL DUE POSSIBLY TO (1)  BAD DISKS AND( 2) THE READERS.",BUT WITH A LITTLE TIME AND PRIOR EXPERIENCE WITH XP AND VISTA I PRETTY WELL FOUND EVERYTHING,positive,246,"one thing lacking in almost all the reviews is info!!!!! 8.1 doesn't work, wont install, etc. so ---- what is the machine? is this a pc or a mac? has the machine had problelms previously? cpu intel or ??? is your reader reliable? anytime we speak to a tech rep, they must be trained to make you think it is your fault, they just keep you on a merry-go-round until you tire and go away. my experience with the above --- the first minute on line with them and i can tell that i know more than they do, they are reading from an ""if this, then that"" script . i installed 8.1 pro onto an old xp pc with four gb and a 2.4 mhz intel. , and onto a new 7.1 pc -- plus onto on olllddd vista pc (same hardware) with - unbelievably - no problems. all now wirelessly networked (easily) and to a wireless brother printer. i'm not crazy about the way 8.1 is laid out, but with a little time and prior experience with xp and vista i pretty well found everything. my wife is no hardware or software person, yet, she has had very few problems making it perform for what she wants. she and i have had -- zero -- blues screens since 8.1. she had 2 or 3 a day. i feel that this software doesn't install well due possibly to (1) bad disks and( 2) the readers.",but with a little time and prior experience with xp and vista i pretty well found everything,"but with a little time and prior experience with xp and vista i pretty well found everything one thing lacking in almost all the reviews is info!!!!! 8.1 doesn't work, wont install, etc. so ---- what is the machine? is this a pc or a mac? has the machine had problelms previously? cpu intel or ??? is your reader reliable? anytime we speak to a tech rep, they must be trained to make you think it is your fault, they just keep you on a merry-go-round until you tire and go away. my experience with the above --- the first minute on line with them and i can tell that i know more than they do, they are reading from an ""if this, then that"" script . i installed 8.1 pro onto an old xp pc with four gb and a 2.4 mhz intel. , and onto a new 7.1 pc -- plus onto on olllddd vista pc (same hardware) with - unbelievably - no problems. all now wirelessly networked (easily) and to a wireless brother printer. i'm not crazy about the way 8.1 is laid out, but with a little time and prior experience with xp and vista i pretty well found everything. my wife is no hardware or software person, yet, she has had very few problems making it perform for what she wants. she and i have had -- zero -- blues screens since 8.1. she had 2 or 3 a day. i feel that this software doesn't install well due possibly to (1) bad disks and( 2) the readers.","BUT WITH A LITTLE TIME AND PRIOR EXPERIENCE WITH XP AND VISTA I PRETTY WELL FOUND EVERYTHING ONE THING LACKING IN ALMOST ALL THE REVIEWS IS INFO!!!!! 8.1 DOESN'T WORK, WONT INSTALL, ETC. SO ---- WHAT IS THE MACHINE? IS THIS A PC OR A MAC? HAS THE MACHINE HAD PROBLELMS PREVIOUSLY? CPU INTEL OR ??? IS YOUR READER RELIABLE? ANYTIME WE SPEAK TO A TECH REP, THEY MUST BE TRAINED TO MAKE YOU THINK IT IS YOUR FAULT, THEY JUST KEEP YOU ON A MERRY-GO-ROUND UNTIL YOU TIRE AND GO AWAY. MY EXPERIENCE WITH THE ABOVE --- THE FIRST MINUTE ON LINE WITH THEM AND I CAN TELL THAT I KNOW MORE THAN THEY DO, THEY ARE READING FROM AN ""IF THIS, THEN THAT"" SCRIPT . I INSTALLED 8.1 PRO ONTO AN OLD XP PC WITH FOUR GB AND A 2.4 MHZ INTEL. , AND ONTO A NEW 7.1 PC -- PLUS ONTO ON OLLLDDD VISTA PC (SAME HARDWARE) WITH - UNBELIEVABLY - NO PROBLEMS. ALL NOW WIRELESSLY NETWORKED (EASILY) AND TO A WIRELESS BROTHER PRINTER. I'M NOT CRAZY ABOUT THE WAY 8.1 IS LAID OUT, BUT WITH A LITTLE TIME AND PRIOR EXPERIENCE WITH XP AND VISTA I PRETTY WELL FOUND EVERYTHING. MY WIFE IS NO HARDWARE OR SOFTWARE PERSON, YET, SHE HAS HAD VERY FEW PROBLEMS MAKING IT PERFORM FOR WHAT SHE WANTS. SHE AND I HAVE HAD -- ZERO -- BLUES SCREENS SINCE 8.1. SHE HAD 2 OR 3 A DAY. I FEEL THAT THIS SOFTWARE DOESN'T INSTALL WELL DUE POSSIBLY TO (1) BAD DISKS AND( 2) THE READERS.","but with a little time and prior experience with xp and vista i pretty well found everything one thing lacking in almost all the reviews is info!!!!! 8.1 doesn't work, wont install, etc. so ---- what is the machine? is this a pc or a mac? has the machine had problelms previously? cpu intel or ??? is your reader reliable? anytime we speak to a tech rep, they must be trained to make you think it is your fault, they just keep you on a merry-go-round until you tire and go away. my experience with the above --- the first minute on line with them and i can tell that i know more than they do, they are reading from an ""if this, then that"" script . i installed 8.1 pro onto an old xp pc with four gb and a 2.4 mhz intel. , and onto a new 7.1 pc -- plus onto on olllddd vista pc (same hardware) with - unbelievably - no problems. all now wirelessly networked (easily) and to a wireless brother printer. i'm not crazy about the way 8.1 is laid out, but with a little time and prior experience with xp and vista i pretty well found everything. my wife is no hardware or software person, yet, she has had very few problems making it perform for what she wants. she and i have had -- zero -- blues screens since 8.1. she had 2 or 3 a day. i feel that this software doesn't install well due possibly to (1) bad disks and( 2) the readers."
2.0,"I've been using OneCare for a few months now.  Overall, not a bad solution for the price (but overy ""controlling"" as some reviewers have mentioned, like rebooting with no notice.)  But I just recently ran into an issue with backups that is a deal killer for me.  I have about 700GB of files on my PC that need backing up, and USB 2.0 was just taking WAY too long, so I purchased a new Seagate FreeAgent 750GB external hard drive with eSATA connection.  (For those of you unfamiliar with eSATA, it has become the new standard for high speed PC backups to external drives ... most benchmarks show 3-5x faster than USB on actual transfer speeds.) Anyhow, Microsoft is VERY misleading when they say OneCare will backup to any ""external drive"", because it will NOT back up to an eSATA drive.  This is because eSATA connects directly to the SATA ports on the computer motherboard, which means OneCare can't tell the difference between your normal internal drive and the eSATA drive.  So, it ignores them all!",Backups - Does not support any eSATA drives,negative,176,"i've been using onecare for a few months now. overall, not a bad solution for the price (but overy ""controlling"" as some reviewers have mentioned, like rebooting with no notice.) but i just recently ran into an issue with backups that is a deal killer for me. i have about 700gb of files on my pc that need backing up, and usb 2.0 was just taking way too long, so i purchased a new seagate freeagent 750gb external hard drive with esata connection. (for those of you unfamiliar with esata, it has become the new standard for high speed pc backups to external drives ... most benchmarks show 3-5x faster than usb on actual transfer speeds.) anyhow, microsoft is very misleading when they say onecare will backup to any ""external drive"", because it will not back up to an esata drive. this is because esata connects directly to the sata ports on the computer motherboard, which means onecare can't tell the difference between your normal internal drive and the esata drive. so, it ignores them all!",backups - does not support any esata drives,"backups - does not support any esata drives i've been using onecare for a few months now. overall, not a bad solution for the price (but overy ""controlling"" as some reviewers have mentioned, like rebooting with no notice.) but i just recently ran into an issue with backups that is a deal killer for me. i have about 700gb of files on my pc that need backing up, and usb 2.0 was just taking way too long, so i purchased a new seagate freeagent 750gb external hard drive with esata connection. (for those of you unfamiliar with esata, it has become the new standard for high speed pc backups to external drives ... most benchmarks show 3-5x faster than usb on actual transfer speeds.) anyhow, microsoft is very misleading when they say onecare will backup to any ""external drive"", because it will not back up to an esata drive. this is because esata connects directly to the sata ports on the computer motherboard, which means onecare can't tell the difference between your normal internal drive and the esata drive. so, it ignores them all!","Backups - Does not support any eSATA drives I've been using OneCare for a few months now. Overall, not a bad solution for the price (but overy ""controlling"" as some reviewers have mentioned, like rebooting with no notice.) But I just recently ran into an issue with backups that is a deal killer for me. I have about 700GB of files on my PC that need backing up, and USB 2.0 was just taking WAY too long, so I purchased a new Seagate FreeAgent 750GB external hard drive with eSATA connection. (For those of you unfamiliar with eSATA, it has become the new standard for high speed PC backups to external drives ... most benchmarks show 3-5x faster than USB on actual transfer speeds.) Anyhow, Microsoft is VERY misleading when they say OneCare will backup to any ""external drive"", because it will NOT back up to an eSATA drive. This is because eSATA connects directly to the SATA ports on the computer motherboard, which means OneCare can't tell the difference between your normal internal drive and the eSATA drive. So, it ignores them all!","backups - does not support any esata drives i've been using onecare for a few months now. overall, not a bad solution for the price (but overy ""controlling"" as some reviewers have mentioned, like rebooting with no notice.) but i just recently ran into an issue with backups that is a deal killer for me. i have about 700gb of files on my pc that need backing up, and usb 2.0 was just taking way too long, so i purchased a new seagate freeagent 750gb external hard drive with esata connection. (for those of you unfamiliar with esata, it has become the new standard for high speed pc backups to external drives ... most benchmarks show 3-5x faster than usb on actual transfer speeds.) anyhow, microsoft is very misleading when they say onecare will backup to any ""external drive"", because it will not back up to an esata drive. this is because esata connects directly to the sata ports on the computer motherboard, which means onecare can't tell the difference between your normal internal drive and the esata drive. so, it ignores them all!"
4.0,"I have had the free version of this on my computer for at least a couple of years. That one has saved me from several bad web sites and has been well worth installing it. I didn't really think that the full version would be that much different but it is. When having it running while doing a search, in the results it will tell the safe sites from the bad and catch about 90% or more of the bad ones. So if you do a lot of surfing and looking up stuff this will help guide you away from the bad sites that can damage your computer.
  Some of the other reviewers say that they cant see any use for it for advanced Internet users, but anybody can stumble into a bad site and not know it, even the pros. And although I don't like any of the other McAfee programs, (there antivirus program that was with my MSN DSL slowed my computer down to a crawl and missed a lot of stuff that some of the free antivirus programs like AVG picked up on) I do like this one and recommend it for all Internet users. For only $20 its a cheap safety net that works.",Is it really worth it? Yes,positive,208,"i have had the free version of this on my computer for at least a couple of years. that one has saved me from several bad web sites and has been well worth installing it. i didn't really think that the full version would be that much different but it is. when having it running while doing a search, in the results it will tell the safe sites from the bad and catch about 90% or more of the bad ones. so if you do a lot of surfing and looking up stuff this will help guide you away from the bad sites that can damage your computer. some of the other reviewers say that they cant see any use for it for advanced internet users, but anybody can stumble into a bad site and not know it, even the pros. and although i don't like any of the other mcafee programs, (there antivirus program that was with my msn dsl slowed my computer down to a crawl and missed a lot of stuff that some of the free antivirus programs like avg picked up on) i do like this one and recommend it for all internet users. for only $20 its a cheap safety net that works.",is it really worth it? yes,"is it really worth it? yes i have had the free version of this on my computer for at least a couple of years. that one has saved me from several bad web sites and has been well worth installing it. i didn't really think that the full version would be that much different but it is. when having it running while doing a search, in the results it will tell the safe sites from the bad and catch about 90% or more of the bad ones. so if you do a lot of surfing and looking up stuff this will help guide you away from the bad sites that can damage your computer. some of the other reviewers say that they cant see any use for it for advanced internet users, but anybody can stumble into a bad site and not know it, even the pros. and although i don't like any of the other mcafee programs, (there antivirus program that was with my msn dsl slowed my computer down to a crawl and missed a lot of stuff that some of the free antivirus programs like avg picked up on) i do like this one and recommend it for all internet users. for only $20 its a cheap safety net that works.","Is it really worth it? Yes I have had the free version of this on my computer for at least a couple of years. That one has saved me from several bad web sites and has been well worth installing it. I didn't really think that the full version would be that much different but it is. When having it running while doing a search, in the results it will tell the safe sites from the bad and catch about 90% or more of the bad ones. So if you do a lot of surfing and looking up stuff this will help guide you away from the bad sites that can damage your computer. Some of the other reviewers say that they cant see any use for it for advanced Internet users, but anybody can stumble into a bad site and not know it, even the pros. And although I don't like any of the other McAfee programs, (there antivirus program that was with my MSN DSL slowed my computer down to a crawl and missed a lot of stuff that some of the free antivirus programs like AVG picked up on) I do like this one and recommend it for all Internet users. For only $20 its a cheap safety net that works.","is it really worth it? yes i have had the free version of this on my computer for at least a couple of years. that one has saved me from several bad web sites and has been well worth installing it. i didn't really think that the full version would be that much different but it is. when having it running while doing a search, in the results it will tell the safe sites from the bad and catch about 90% or more of the bad ones. so if you do a lot of surfing and looking up stuff this will help guide you away from the bad sites that can damage your computer. some of the other reviewers say that they cant see any use for it for advanced internet users, but anybody can stumble into a bad site and not know it, even the pros. and although i don't like any of the other mcafee programs, (there antivirus program that was with my msn dsl slowed my computer down to a crawl and missed a lot of stuff that some of the free antivirus programs like avg picked up on) i do like this one and recommend it for all internet users. for only $20 its a cheap safety net that works."
1.0,"I haven't used AVPs for years, mainly because I don't need them (I know what to not click on) and they slow my system to a crawl.  This is ridiculous.  In those 3-5 years I have not used one of these programs, someone could have noticed this HUGE design flaw and fixed it.  My system still slows to nearly a complete stop.  And killing it in Task Manager doesn't help, either.  I was afraid that even after uninstalling it I was still going to feel the pain of the AVP, so I actually went back to do a system restore to prior the McAfee installation.  System runs smooth as silk, now, and I still don't have to worry about viruses.  Instead, invest in a good router, and don't click on any pop ups, people!",Not Designed to Integrate with Performance on Your Machine,negative,134,"i haven't used avps for years, mainly because i don't need them (i know what to not click on) and they slow my system to a crawl. this is ridiculous. in those 3-5 years i have not used one of these programs, someone could have noticed this huge design flaw and fixed it. my system still slows to nearly a complete stop. and killing it in task manager doesn't help, either. i was afraid that even after uninstalling it i was still going to feel the pain of the avp, so i actually went back to do a system restore to prior the mcafee installation. system runs smooth as silk, now, and i still don't have to worry about viruses. instead, invest in a good router, and don't click on any pop ups, people!",not designed to integrate with performance on your machine,"not designed to integrate with performance on your machine i haven't used avps for years, mainly because i don't need them (i know what to not click on) and they slow my system to a crawl. this is ridiculous. in those 3-5 years i have not used one of these programs, someone could have noticed this huge design flaw and fixed it. my system still slows to nearly a complete stop. and killing it in task manager doesn't help, either. i was afraid that even after uninstalling it i was still going to feel the pain of the avp, so i actually went back to do a system restore to prior the mcafee installation. system runs smooth as silk, now, and i still don't have to worry about viruses. instead, invest in a good router, and don't click on any pop ups, people!","Not Designed to Integrate with Performance on Your Machine I haven't used AVPs for years, mainly because I don't need them (I know what to not click on) and they slow my system to a crawl. This is ridiculous. In those 3-5 years I have not used one of these programs, someone could have noticed this HUGE design flaw and fixed it. My system still slows to nearly a complete stop. And killing it in Task Manager doesn't help, either. I was afraid that even after uninstalling it I was still going to feel the pain of the AVP, so I actually went back to do a system restore to prior the McAfee installation. System runs smooth as silk, now, and I still don't have to worry about viruses. Instead, invest in a good router, and don't click on any pop ups, people!","not designed to integrate with performance on your machine i haven't used avps for years, mainly because i don't need them (i know what to not click on) and they slow my system to a crawl. this is ridiculous. in those 3-5 years i have not used one of these programs, someone could have noticed this huge design flaw and fixed it. my system still slows to nearly a complete stop. and killing it in task manager doesn't help, either. i was afraid that even after uninstalling it i was still going to feel the pain of the avp, so i actually went back to do a system restore to prior the mcafee installation. system runs smooth as silk, now, and i still don't have to worry about viruses. instead, invest in a good router, and don't click on any pop ups, people!"
4.0,"Office 365 is Microsoft's latest bright idea for how to get us to subscribe to the software we once bought.  For $49 a year you get Office 2013 on a PC or Office 2011 on a Mac, plus more-robust versions of the tablet/phone versions of Office than you get for free.  You also get 1TB of space in Microsoft's cloud and the ability to sync a doc from anywhere you edit it.  Sort of like a keychain USB drive, except no physical drive.  Plus some Skype minutes.  1TB of space is nothing to sneeze at, and paying an annual fee for drive space is industry standard practice.

For me the installation on the PC went fine even though I had Word 2010 already.  I am happy with the features added in 2013 over 2010, particularly for Excel.  The iPad version is about as good as you might expect, and with Office 365 you get to edit docs from OneDrive.

So far so good.  But does it make sense to go for this version?  If you have lots of devices, get Office 365 Home, which supports installs on 5 devices.  If you don't trust Cloud storage and don't need OneDrive and syncing, search out the regular Home and Office or Home and Business versions; one purchase price covers you forever, or until hardware/OS incompatibilities end that dream.

If, at the end of my subscription year I have actually used OneDrive a lot, I'll renew using my own money.  If I like the 2013 version of Office enough but don't use the cloud storage, I'll buy a permanent license for 2013....assuming they still sell such a thing.  I hope they do.  At the retail level, rental software benefits the vendor far more than the buyer.",Office with its Head in the Cloud,positive,293,"office 365 is microsoft's latest bright idea for how to get us to subscribe to the software we once bought. for $49 a year you get office 2013 on a pc or office 2011 on a mac, plus more-robust versions of the tablet/phone versions of office than you get for free. you also get 1tb of space in microsoft's cloud and the ability to sync a doc from anywhere you edit it. sort of like a keychain usb drive, except no physical drive. plus some skype minutes. 1tb of space is nothing to sneeze at, and paying an annual fee for drive space is industry standard practice. for me the installation on the pc went fine even though i had word 2010 already. i am happy with the features added in 2013 over 2010, particularly for excel. the ipad version is about as good as you might expect, and with office 365 you get to edit docs from onedrive. so far so good. but does it make sense to go for this version? if you have lots of devices, get office 365 home, which supports installs on 5 devices. if you don't trust cloud storage and don't need onedrive and syncing, search out the regular home and office or home and business versions; one purchase price covers you forever, or until hardware/os incompatibilities end that dream. if, at the end of my subscription year i have actually used onedrive a lot, i'll renew using my own money. if i like the 2013 version of office enough but don't use the cloud storage, i'll buy a permanent license for 2013....assuming they still sell such a thing. i hope they do. at the retail level, rental software benefits the vendor far more than the buyer.",office with its head in the cloud,"office with its head in the cloud office 365 is microsoft's latest bright idea for how to get us to subscribe to the software we once bought. for $49 a year you get office 2013 on a pc or office 2011 on a mac, plus more-robust versions of the tablet/phone versions of office than you get for free. you also get 1tb of space in microsoft's cloud and the ability to sync a doc from anywhere you edit it. sort of like a keychain usb drive, except no physical drive. plus some skype minutes. 1tb of space is nothing to sneeze at, and paying an annual fee for drive space is industry standard practice. for me the installation on the pc went fine even though i had word 2010 already. i am happy with the features added in 2013 over 2010, particularly for excel. the ipad version is about as good as you might expect, and with office 365 you get to edit docs from onedrive. so far so good. but does it make sense to go for this version? if you have lots of devices, get office 365 home, which supports installs on 5 devices. if you don't trust cloud storage and don't need onedrive and syncing, search out the regular home and office or home and business versions; one purchase price covers you forever, or until hardware/os incompatibilities end that dream. if, at the end of my subscription year i have actually used onedrive a lot, i'll renew using my own money. if i like the 2013 version of office enough but don't use the cloud storage, i'll buy a permanent license for 2013....assuming they still sell such a thing. i hope they do. at the retail level, rental software benefits the vendor far more than the buyer.","Office with its Head in the Cloud Office 365 is Microsoft's latest bright idea for how to get us to subscribe to the software we once bought. For $49 a year you get Office 2013 on a PC or Office 2011 on a Mac, plus more-robust versions of the tablet/phone versions of Office than you get for free. You also get 1TB of space in Microsoft's cloud and the ability to sync a doc from anywhere you edit it. Sort of like a keychain USB drive, except no physical drive. Plus some Skype minutes. 1TB of space is nothing to sneeze at, and paying an annual fee for drive space is industry standard practice. For me the installation on the PC went fine even though I had Word 2010 already. I am happy with the features added in 2013 over 2010, particularly for Excel. The iPad version is about as good as you might expect, and with Office 365 you get to edit docs from OneDrive. So far so good. But does it make sense to go for this version? If you have lots of devices, get Office 365 Home, which supports installs on 5 devices. If you don't trust Cloud storage and don't need OneDrive and syncing, search out the regular Home and Office or Home and Business versions; one purchase price covers you forever, or until hardware/OS incompatibilities end that dream. If, at the end of my subscription year I have actually used OneDrive a lot, I'll renew using my own money. If I like the 2013 version of Office enough but don't use the cloud storage, I'll buy a permanent license for 2013....assuming they still sell such a thing. I hope they do. At the retail level, rental software benefits the vendor far more than the buyer.","office with its head in the cloud office 365 is microsoft's latest bright idea for how to get us to subscribe to the software we once bought. for $49 a year you get office 2013 on a pc or office 2011 on a mac, plus more-robust versions of the tablet/phone versions of office than you get for free. you also get 1tb of space in microsoft's cloud and the ability to sync a doc from anywhere you edit it. sort of like a keychain usb drive, except no physical drive. plus some skype minutes. 1tb of space is nothing to sneeze at, and paying an annual fee for drive space is industry standard practice. for me the installation on the pc went fine even though i had word 2010 already. i am happy with the features added in 2013 over 2010, particularly for excel. the ipad version is about as good as you might expect, and with office 365 you get to edit docs from onedrive. so far so good. but does it make sense to go for this version? if you have lots of devices, get office 365 home, which supports installs on 5 devices. if you don't trust cloud storage and don't need onedrive and syncing, search out the regular home and office or home and business versions; one purchase price covers you forever, or until hardware/os incompatibilities end that dream. if, at the end of my subscription year i have actually used onedrive a lot, i'll renew using my own money. if i like the 2013 version of office enough but don't use the cloud storage, i'll buy a permanent license for 2013....assuming they still sell such a thing. i hope they do. at the retail level, rental software benefits the vendor far more than the buyer."
3.0,This product works as stated but when I downloaded it it did not do a great job editing existing PDF files.  There needs to be a program created to edit existing PDF's quickly and easily.,PDF Fusion,neutral,35,this product works as stated but when i downloaded it it did not do a great job editing existing pdf files. there needs to be a program created to edit existing pdf's quickly and easily.,pdf fusion,pdf fusion this product works as stated but when i downloaded it it did not do a great job editing existing pdf files. there needs to be a program created to edit existing pdf's quickly and easily.,PDF Fusion This product works as stated but when I downloaded it it did not do a great job editing existing PDF files. There needs to be a program created to edit existing PDF's quickly and easily.,pdf fusion this product works as stated but when i downloaded it it did not do a great job editing existing pdf files. there needs to be a program created to edit existing pdf's quickly and easily.
3.0,it works but looses records over 3 years,Three Stars,neutral,8,it works but looses records over 3 years,three stars,three stars it works but looses records over 3 years,Three Stars it works but looses records over 3 years,three stars it works but looses records over 3 years
5.0,"I installed this program today and my observations are:

Pros:
- Very easy to install.
- Gave you the option to update after installation, which I did.  Updates listed out prior to download and allowed me the option to install only the updates I wanted.  I installed them all but thought this was a nice touch.
- After install, I scanned my PC for spyware. It took about 6 minutes.  Spyware Doctor found 8 different types of infections.  It graded the risk of each type as Low or Medium, I had no High risk infections.  It also gave a count of each type of infection and a description of what each one was.  I then had the option to pick and choose what I wanted cleaned off.  This was important because the software picked up one infection that was a legitimate application but that uses registry keys that some people find undesirable.  I cleaned off everything without setting a restore point.
The cleanup was very quick.

Cons:
- None noted but the true measurement of software like this is how effective it is at getting everything that's on my PC.  I ran my virus software after Spyware Doctor to see if it would pick up anything else. After 20 minutes I shut it down, tired of waiting. However, in that time it didn't find any spyware.

Overall: Recommended.",Very well designed software.,positive,228,"i installed this program today and my observations are: pros: - very easy to install. - gave you the option to update after installation, which i did. updates listed out prior to download and allowed me the option to install only the updates i wanted. i installed them all but thought this was a nice touch. - after install, i scanned my pc for spyware. it took about 6 minutes. spyware doctor found 8 different types of infections. it graded the risk of each type as low or medium, i had no high risk infections. it also gave a count of each type of infection and a description of what each one was. i then had the option to pick and choose what i wanted cleaned off. this was important because the software picked up one infection that was a legitimate application but that uses registry keys that some people find undesirable. i cleaned off everything without setting a restore point. the cleanup was very quick. cons: - none noted but the true measurement of software like this is how effective it is at getting everything that's on my pc. i ran my virus software after spyware doctor to see if it would pick up anything else. after 20 minutes i shut it down, tired of waiting. however, in that time it didn't find any spyware. overall: recommended.",very well designed software.,"very well designed software. i installed this program today and my observations are: pros: - very easy to install. - gave you the option to update after installation, which i did. updates listed out prior to download and allowed me the option to install only the updates i wanted. i installed them all but thought this was a nice touch. - after install, i scanned my pc for spyware. it took about 6 minutes. spyware doctor found 8 different types of infections. it graded the risk of each type as low or medium, i had no high risk infections. it also gave a count of each type of infection and a description of what each one was. i then had the option to pick and choose what i wanted cleaned off. this was important because the software picked up one infection that was a legitimate application but that uses registry keys that some people find undesirable. i cleaned off everything without setting a restore point. the cleanup was very quick. cons: - none noted but the true measurement of software like this is how effective it is at getting everything that's on my pc. i ran my virus software after spyware doctor to see if it would pick up anything else. after 20 minutes i shut it down, tired of waiting. however, in that time it didn't find any spyware. overall: recommended.","Very well designed software. I installed this program today and my observations are: Pros: - Very easy to install. - Gave you the option to update after installation, which I did. Updates listed out prior to download and allowed me the option to install only the updates I wanted. I installed them all but thought this was a nice touch. - After install, I scanned my PC for spyware. It took about 6 minutes. Spyware Doctor found 8 different types of infections. It graded the risk of each type as Low or Medium, I had no High risk infections. It also gave a count of each type of infection and a description of what each one was. I then had the option to pick and choose what I wanted cleaned off. This was important because the software picked up one infection that was a legitimate application but that uses registry keys that some people find undesirable. I cleaned off everything without setting a restore point. The cleanup was very quick. Cons: - None noted but the true measurement of software like this is how effective it is at getting everything that's on my PC. I ran my virus software after Spyware Doctor to see if it would pick up anything else. After 20 minutes I shut it down, tired of waiting. However, in that time it didn't find any spyware. Overall: Recommended.","very well designed software. i installed this program today and my observations are: pros: - very easy to install. - gave you the option to update after installation, which i did. updates listed out prior to download and allowed me the option to install only the updates i wanted. i installed them all but thought this was a nice touch. - after install, i scanned my pc for spyware. it took about 6 minutes. spyware doctor found 8 different types of infections. it graded the risk of each type as low or medium, i had no high risk infections. it also gave a count of each type of infection and a description of what each one was. i then had the option to pick and choose what i wanted cleaned off. this was important because the software picked up one infection that was a legitimate application but that uses registry keys that some people find undesirable. i cleaned off everything without setting a restore point. the cleanup was very quick. cons: - none noted but the true measurement of software like this is how effective it is at getting everything that's on my pc. i ran my virus software after spyware doctor to see if it would pick up anything else. after 20 minutes i shut it down, tired of waiting. however, in that time it didn't find any spyware. overall: recommended."
